epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9961,1.93764,4.22141,4.94307,0.01434,7.87611,0.00151,0.23109,0.02876,0.02568,0.00176,0.26284,0.0291,0.02272,1.85794,4.04629,4.90389,0.01493,0,0.00010002,0.00010002,0.00010002
2,31.5156,2.01124,3.82408,5.18159,0.0156,7.11742,0.00157,0.23903,0.00298,0.00221,0.00208,0.31606,0.00448,0.00252,1.691,3.57505,4.87692,0.01329,0,0.000214565,0.000214565,0.000214565
3,49.0327,1.78888,3.37269,4.51882,0.01141,6.30347,0.00239,0.35574,0.00569,0.0032,0.00265,0.38749,0.00559,0.00265,1.59441,3.34981,4.79673,0.01271,0,0.000326799,0.000326799,0.000326799
4,77.0366,1.62,3.23457,4.36963,0.0112,5.69418,0.00302,0.46218,0.01669,0.00886,0.00315,0.46452,0.01583,0.00802,1.57468,3.21001,4.78367,0.01244,0,0.000436722,0.000436722,0.000436722
5,94.3296,1.63799,3.07744,4.43053,0.01138,5.08869,0.00404,0.58917,0.02221,0.01558,0.00409,0.61064,0.02288,0.01401,1.49399,3.21058,4.58784,0.01224,0,0.000544336,0.000544336,0.000544336
6,110.563,1.58455,2.86861,4.15976,0.01069,4.47163,0.00424,0.62652,0.03504,0.01563,0.00458,0.72829,0.05959,0.01932,1.52058,3.92756,4.46762,0.01163,0,0.000649638,0.000649638,0.000649638
7,127.827,1.66048,2.95552,3.68711,0.01057,3.924,0.00498,0.80299,0.07971,0.04134,0.00487,0.77358,0.08368,0.03591,1.54884,3.15413,4.28024,0.01181,0,0.00075263,0.00075263,0.00075263
8,146.015,1.75416,2.66217,3.42673,0.01081,3.62919,0.00498,0.78151,0.06628,0.03666,0.00474,0.73623,0.06736,0.02936,1.57004,3.15466,4.24959,0.01197,0,0.000853312,0.000853312,0.000853312
9,164.32,1.62013,2.5996,3.57726,0.01046,3.51781,0.00462,0.73389,0.12553,0.06567,0.00459,0.71242,0.13074,0.04409,1.62002,3.10376,4.21436,0.01254,0,0.000951684,0.000951684,0.000951684
10,182.581,1.50048,2.51923,3.1296,0.01062,3.08443,0.00594,0.63539,0.17534,0.07648,0.00617,0.67274,0.16743,0.05696,1.58089,3.202,4.05268,0.01251,0,0.00104774,0.00104774,0.00104774
11,201.227,1.60198,2.78319,3.36614,0.01088,3.0192,0.00515,0.71475,0.15337,0.06481,0.00474,0.65359,0.14037,0.04895,1.56334,3.69105,4.02074,0.01225,0,0.00114149,0.00114149,0.00114149
12,219.992,1.60717,2.73199,3.22356,0.01125,2.76271,0.728,0.0873,0.21659,0.08556,0.71456,0.07937,0.16382,0.05598,1.71104,3.54251,3.91282,0.01421,0,0.00123293,0.00123293,0.00123293
13,239.093,1.60957,2.61874,3.28684,0.01411,2.66117,0.69905,0.09524,0.22448,0.0947,0.70816,0.09524,0.19222,0.06451,1.72787,3.36465,3.75878,0.01443,0,0.00132206,0.00132206,0.00132206
14,258.427,1.6605,2.59513,2.84304,0.01212,2.31359,0.72755,0.15873,0.27659,0.14247,0.7048,0.14286,0.26406,0.09622,1.61158,3.48822,3.43869,0.01269,0,0.00140888,0.00140888,0.00140888
15,278.497,1.56241,2.63498,3.01189,0.01182,2.21843,0.37795,0.26284,0.20881,0.10248,0.38435,0.26095,0.22819,0.08111,1.60304,4.09769,3.42752,0.01284,0,0.00143595,0.00143595,0.00143595
16,299.075,1.62954,2.63036,2.86105,0.01186,2.00776,0.37321,0.35341,0.25562,0.13448,0.32283,0.27871,0.21015,0.08129,1.61061,5.47267,3.32181,0.01339,0,0.00141945,0.00141945,0.00141945
17,320.303,1.72775,2.53837,2.66431,0.01143,1.75653,0.37754,0.33754,0.28697,0.14006,0.3652,0.30812,0.26182,0.1002,1.81362,4.8555,3.21846,0.01559,0,0.00140295,0.00140295,0.00140295
18,341.38,1.67541,2.54836,2.70767,0.01258,1.75983,0.41379,0.34616,0.33092,0.15925,0.36821,0.34619,0.30563,0.10247,1.84532,3.54172,2.93937,0.01585,0,0.00138644,0.00138644,0.00138644
